accuracy,loss,val_accuracy,val_loss
0.7757236361503601,0.4807303845882416,0.7780889868736267,0.5416297316551208
0.7782764434814453,0.4662375748157501,0.77742999792099,0.5481017827987671
0.7786470055580139,0.4577447175979614,0.7711696624755859,0.5496004819869995
0.7825173735618591,0.44624564051628113,0.7245469689369202,0.5888763070106506
0.7863466143608093,0.433668851852417,0.7047775983810425,0.604648232460022
0.7938814759254456,0.4191724956035614,0.6336079239845276,0.7108843922615051
0.8000576496124268,0.40449443459510803,0.6505765914916992,0.6907087564468384
0.8081690073013306,0.39094629883766174,0.6589785814285278,0.7197348475456238
0.812780499458313,0.3767910301685333,0.69209223985672,0.7128234505653381
0.819533109664917,0.36374908685684204,0.5996705293655396,0.8455048203468323
